model,model_tag,attack,eps,feature_name,mean_abs_delta_raw,std_abs_delta_raw,min_abs_delta_raw,max_abs_delta_raw,mean_abs_delta_raw_flipped,std_abs_delta_raw_flipped,feature_rank
LSTM,lstm,FGSM,0.10,syn_flag_number,0.10000000476419926,7.903280363230672e-09,0.10000000149011612,0.10000002384185791,0.10000000836836444,1.0316517359577984e-08,17
LSTM,lstm,FGSM,0.10,HTTPS,0.10000000424385071,7.346271864055751e-09,0.10000000149011612,0.10000002384185791,0.10000000552266448,8.594942321529493e-09,18
LSTM,lstm,FGSM,0.10,ICMP,0.10000000352412462,6.4285645573711654e-09,0.10000000149011612,0.10000002384185791,0.10000000149695674,3.909643037731722e-10,19
LSTM,lstm,FGSM,0.10,rst_flag_number,0.10000000284016132,5.324776028721132e-09,0.10000000149011612,0.10000002384185791,0.10000000166797236,1.9858912509935453e-09,20
LSTM,lstm,FGSM,0.10,psh_flag_number,0.10000000282496214,5.2966328612960916e-09,0.10000000149011612,0.10000002384185791,0.10000000163718956,1.8071294490664235e-09,21
LSTM,lstm,FGSM,0.10,HTTP,0.10000000276774168,5.18891410276841e-09,0.10000000149011612,0.10000002384185791,0.10000000266328328,4.984577051867999e-09,22
LSTM,lstm,FGSM,0.10,fin_flag_number,0.10000000253260136,4.7132351279366225e-09,0.10000000149011612,0.10000002384185791,0.10000000149011612,0.0,23
LSTM,lstm,FGSM,0.10,LLC,0.10000000151067973,6.776499615945339e-10,0.10000000149011612,0.10000002384185791,0.1000000015140583,7.311472868620043e-10,24
LSTM,lstm,FGSM,0.10,IPv,0.10000000151067973,6.776499615945339e-10,0.10000000149011612,0.10000002384185791,0.1000000015140583,7.311472868620043e-10,25
LSTM,lstm,FGSM,0.10,DNS,0.10000000150173903,5.095655952128078e-10,0.10000000149011612,0.10000002384185791,0.10000000150721768,6.180268918133323e-10,26
LSTM,lstm,FGSM,0.10,ARP,0.10000000149905681,4.469454199058295e-10,0.10000000149011612,0.10000002384185791,0.10000000150379737,5.528223813779406e-10,27
LSTM,lstm,FGSM,0.10,SSH,0.10000000149816275,4.2401813850635696e-10,0.10000000149011612,0.10000002384185791,0.10000000149011612,0.0,28
LSTM,lstm,FGSM,0.10,IRC,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,29
LSTM,lstm,FGSM,0.10,SMTP,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,30
LSTM,lstm,FGSM,0.10,ece_flag_number,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,31
LSTM,lstm,FGSM,0.10,cwr_flag_number,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,32
LSTM,lstm,FGSM,0.10,Telnet,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,33
LSTM,lstm,FGSM,0.10,IGMP,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,34
LSTM,lstm,FGSM,0.10,DHCP,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,35
LSTM,lstm,FGSM,0.10,fin_count,0.0999999314546585,3.2383774534337794e-07,0.09999847412109375,0.10000038146972656,0.10000000187661143,2.0540952821288228e-08,36
LSTM,lstm,FGSM,0.10,rst_count,0.09999992039203644,3.6177855400209376e-07,0.09999847412109375,0.10000038146972656,0.09999998986675435,1.7220908724880058e-07,37
