task,model,class_index,class_name,support,precision,recall,f1,roc_auc_ovr
34class,cnn,21,DOS-UDP_FLOOD,39998,0.6960734319224885,0.6825341267063353,0.689237294554268,0.9898591764804968
34class,cnn,22,MIRAI-GREETH_FLOOD,39997,0.5724383576773339,0.5183388754156562,0.5440470254808828,0.9871926009605019
34class,cnn,23,MIRAI-GREIP_FLOOD,39998,0.5592630171101785,0.6063553177658882,0.5818578763015211,0.9870097449806827
34class,cnn,24,MIRAI-UDPPLAIN,39997,0.9891969930801016,0.9935745180888567,0.9913809232764965,0.9999465603171761
34class,cnn,25,MITM-ARPSPOOFING,39998,0.6292984517909151,0.615830791539577,0.6224917867071014,0.9770909402395143
34class,cnn,26,RECON-HOSTDISCOVERY,25735,0.5981335666375036,0.6375752865747037,0.6172249703763613,0.9798105645648444
34class,cnn,27,RECON-OSSCAN,18793,0.34721390053924506,0.061671899111371255,0.10473995752564276,0.9455895353802077
34class,cnn,28,RECON-PINGSWEEP,432,0.0,0.0,0.0,0.9418692823638064
34class,cnn,29,RECON-PORTSCAN,15746,0.49864314789687925,0.1867140861171091,0.27169392847241475,0.9536284554847182
34class,cnn,30,SQLINJECTION,1004,0.0,0.0,0.0,0.9564715266151255
34class,cnn,31,UPLOADING_ATTACK,239,0.0,0.0,0.0,0.9577710207399301
34class,cnn,32,VULNERABILITYSCAN,39999,0.41542124798655367,0.7414935373384335,0.5325062391152127,0.9663916346043674
34class,cnn,33,XSS,741,0.0,0.0,0.0,0.9523233652971931
34class,lstm,0,BACKDOOR_MALWARE,615,0.0,0.0,0.0,0.960594467745297
34class,lstm,1,BENIGN,39998,0.5341021357618868,0.7433871693584679,0.6216015637249266,0.9788147374957017
34class,lstm,2,BROWSERHIJACKING,1126,0.0,0.0,0.0,0.9625285665862908
34class,lstm,3,COMMANDINJECTION,1034,0.7330097087378641,0.14603481624758222,0.2435483870967742,0.971404928372087
34class,lstm,4,DDOS-ACK_FRAGMENTATION,39996,0.9911393358267024,0.9872487248724873,0.9891902047973946,0.9999718440221974
34class,lstm,5,DDOS-HTTP_FLOOD,5519,0.8648525040018294,0.6852690704837833,0.7646583097452487,0.9985741304288661
34class,lstm,6,DDOS-ICMP_FLOOD,40000,0.9998498385764697,0.998775,0.9993121302700201,0.9999969974455903
34class,lstm,7,DDOS-ICMP_FRAGMENTATION,39996,0.9859172544899695,0.9854735473547355,0.9856953509890715,0.9999509561271591
34class,lstm,8,DDOS-PSHACK_FLOOD,40000,0.9995739561926721,0.997125,0.9983479762709319,0.9999970642609588
34class,lstm,9,DDOS-RSTFINFLOOD,40000,1.0,0.9989,0.9994496973335334,0.9999944982671148
34class,lstm,10,DDOS-SLOWLORIS,4480,0.7418769286621891,0.9122767857142857,0.8183001301431575,0.9994793046708432
34class,lstm,11,DDOS-SYNONYMOUSIP_FLOOD,40000,0.5645113958720532,0.28855,0.3818945835952751,0.970472772663442
34class,lstm,12,DDOS-SYN_FLOOD,39999,0.4822985368812069,0.15905397634940874,0.23921789810114683,0.9616728940385145
34class,lstm,13,DDOS-TCP_FLOOD,39999,0.6910898379970545,0.4692617315432886,0.5589719918402597,0.9851912229188998
34class,lstm,14,DDOS-UDP_FLOOD,39999,0.6915980698268521,0.7309682742068552,0.7107383773928897,0.9905261403581771
34class,lstm,15,DDOS-UDP_FRAGMENTATION,39996,0.9868230596456201,0.9886488648864886,0.9877351185272151,0.9999506897711727
34class,lstm,16,DICTIONARYBRUTEFORCE,2504,1.0,0.14936102236421725,0.2599027102154274,0.9618177129450158
34class,lstm,17,DNS_SPOOFING,34293,0.7190645530709421,0.6957688157933106,0.7072248981104112,0.9845446922809011
34class,lstm,18,DOS-HTTP_FLOOD,13759,0.872193670543684,0.9374227778181554,0.9036326058780257,0.9993401287572213
34class,lstm,19,DOS-SYN_FLOOD,39999,0.41265084730013823,0.8882222055551389,0.563507169140972,0.9734460790913062
34class,lstm,20,DOS-TCP_FLOOD,39999,0.5979140987958661,0.7882947073676841,0.6800310565704056,0.9851053506248446
34class,lstm,21,DOS-UDP_FLOOD,39998,0.7132005312084994,0.6713335666783339,0.6916340407995054,0.9903884634709755
34class,lstm,22,MIRAI-GREETH_FLOOD,39997,0.9889727074509411,0.9865989949246193,0.9877844251420561,0.9998997903544666
34class,lstm,23,MIRAI-GREIP_FLOOD,39998,0.9893686374805677,0.9864993249662483,0.9879318978467702,0.9998617191258622
34class,lstm,24,MIRAI-UDPPLAIN,39997,0.9970942611658025,0.995199639972998,0.9961460497009434,0.9999913673014974
34class,lstm,25,MITM-ARPSPOOFING,39998,0.7577774431561511,0.6290814540727037,0.6874581642828845,0.9848304236273528
34class,lstm,26,RECON-HOSTDISCOVERY,25735,0.6812159635861172,0.6513308723528269,0.6659383007886216,0.9857772781164987
34class,lstm,27,RECON-OSSCAN,18793,0.4373259052924791,0.09189591869313042,0.15187758332600476,0.9574231268347906
34class,lstm,28,RECON-PINGSWEEP,432,0.0,0.0,0.0,0.954347576237101
34class,lstm,29,RECON-PORTSCAN,15746,0.5076851420586865,0.27689571954782166,0.3583463466754335,0.962527119575706
34class,lstm,30,SQLINJECTION,1004,0.8181818181818182,0.008964143426294821,0.017733990147783252,0.962982162137273
34class,lstm,31,UPLOADING_ATTACK,239,0.0,0.0,0.0,0.9676729919392949
34class,lstm,32,VULNERABILITYSCAN,39999,0.4779821939484999,0.7476186904672617,0.5831399543690645,0.9742688590731623
34class,lstm,33,XSS,741,0.0,0.0,0.0,0.9639416876639934
34class,serial,0,BACKDOOR_MALWARE,615,0.0,0.0,0.0,0.9592071915232199
34class,serial,1,BENIGN,39998,0.5119026626697232,0.7257862893144658,0.6003639822972247,0.9772868483463654
34class,serial,2,BROWSERHIJACKING,1126,0.7816091954022989,0.06039076376554174,0.11211871393239901,0.9601349715034992
34class,serial,3,COMMANDINJECTION,1034,0.7637795275590551,0.09381044487427466,0.16709732988802756,0.9692268583486766
34class,serial,4,DDOS-ACK_FRAGMENTATION,39996,0.9890388281328384,0.9858735873587359,0.9874536712411098,0.9999269482688748
34class,serial,5,DDOS-HTTP_FLOOD,5519,0.8536640360766629,0.685993839463671,0.7606992163954189,0.9983996100180849
34class,serial,6,DDOS-ICMP_FLOOD,40000,0.9998748216208097,0.99845,0.9991619028557848,0.9999894919608789
34class,serial,7,DDOS-ICMP_FRAGMENTATION,39996,0.9878073306853035,0.9824232423242324,0.985107929901973,0.9999257776915763
34class,serial,8,DDOS-PSHACK_FLOOD,40000,0.996330412641354,0.9978,0.9970646648097028,0.9999933956510022
34class,serial,9,DDOS-RSTFINFLOOD,40000,1.0,0.998625,0.9993120270185752,0.999969668452744
34class,serial,10,DDOS-SLOWLORIS,4480,0.6466353677621284,0.9223214285714286,0.7602575896964121,0.999061228487757
34class,serial,11,DDOS-SYNONYMOUSIP_FLOOD,40000,0.5078115156860274,0.40305,0.4494062552266265,0.9691450840319248
34class,serial,12,DDOS-SYN_FLOOD,39999,0.397734093637455,0.1325283132078302,0.19881110881917227,0.9607815227827926
34class,serial,13,DDOS-TCP_FLOOD,39999,0.717893188411719,0.4392359808995225,0.5450117880630351,0.9852373727223318
34class,serial,14,DDOS-UDP_FLOOD,39999,0.6331551559347234,0.8943223580589514,0.741411650103112,0.9904710279062265
34class,serial,15,DDOS-UDP_FRAGMENTATION,39996,0.9893438307048116,0.9865486548654866,0.9879442657018741,0.9999151179402945
34class,serial,16,DICTIONARYBRUTEFORCE,2504,0.8566978193146417,0.10982428115015974,0.19469026548672566,0.9554441099844425
34class,serial,17,DNS_SPOOFING,34293,0.7032596363190334,0.6687662205114746,0.6855793375582925,0.9829417228605739
34class,serial,18,DOS-HTTP_FLOOD,13759,0.8775093329576671,0.9054437095719166,0.8912576906567463,0.9991758637630282
34class,serial,19,DOS-SYN_FLOOD,39999,0.43122716526971844,0.8026200655016376,0.5610282488837628,0.9730303524920205
34class,serial,20,DOS-TCP_FLOOD,39999,0.5954376332044937,0.8241956048901222,0.6913857285167514,0.9850980071572437
34class,serial,21,DOS-UDP_FLOOD,39998,0.8165137614678899,0.4783989199459973,0.603313732599751,0.9902687944448169
34class,serial,22,MIRAI-GREETH_FLOOD,39997,0.8722533247770574,0.985523914293572,0.9254355073484528,0.999263011856627
34class,serial,23,MIRAI-GREIP_FLOOD,39998,0.9878721058434399,0.8512425621281065,0.9144821658788139,0.9992972120059567
34class,serial,24,MIRAI-UDPPLAIN,39997,0.991272038103788,0.9938495387154036,0.9925591150840221,0.999972798527508
34class,serial,25,MITM-ARPSPOOFING,39998,0.7105737704918033,0.6502075103755188,0.6790516723674247,0.9832694580094788
34class,serial,26,RECON-HOSTDISCOVERY,25735,0.6329935125115848,0.6634932970662522,0.6478846518687156,0.9840804830882851
34class,serial,27,RECON-OSSCAN,18793,0.3870884106818771,0.07944447400627894,0.13183222958057395,0.9536308850353934
34class,serial,28,RECON-PINGSWEEP,432,0.0,0.0,0.0,0.9500717941923242
34class,serial,29,RECON-PORTSCAN,15746,0.4979157017137564,0.27308522799441126,0.35271921909605447,0.9601290187655661
34class,serial,30,SQLINJECTION,1004,0.0,0.0,0.0,0.9621427114823387
34class,serial,31,UPLOADING_ATTACK,239,0.0,0.0,0.0,0.9659790280982489
